epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3990.83,1.00481,0.50051,1.10381,0.97308,0.98064,0.98433,0.71167,1.07167,0.46035,1.14643,0.003664,0.003664,0.003664
66,4054.06,1.00006,0.4962,1.10172,0.97419,0.98014,0.98449,0.71576,1.06362,0.45978,1.14528,0.003565,0.003565,0.003565
67,4116.51,1.00443,0.49884,1.10161,0.97365,0.9782,0.98415,0.71793,1.05616,0.45843,1.13781,0.003466,0.003466,0.003466
68,4179.18,0.99832,0.49577,1.09901,0.97352,0.97975,0.98405,0.71904,1.05467,0.45402,1.13554,0.003367,0.003367,0.003367
69,4241.89,0.99306,0.49156,1.09444,0.97336,0.97965,0.9842,0.71785,1.05399,0.45159,1.13047,0.003268,0.003268,0.003268
70,4304.18,0.98848,0.48589,1.08595,0.97313,0.9811,0.98448,0.71949,1.05216,0.4479,1.12767,0.003169,0.003169,0.003169
71,4366.27,0.98848,0.4871,1.09143,0.97306,0.98007,0.98432,0.7188,1.0535,0.44533,1.12498,0.00307,0.00307,0.00307
72,4427.92,0.98357,0.48045,1.08701,0.97356,0.98122,0.9851,0.72021,1.0505,0.44455,1.125,0.002971,0.002971,0.002971
73,4489.47,0.98355,0.48376,1.09547,0.97177,0.98159,0.98461,0.72017,1.052,0.44528,1.13039,0.002872,0.002872,0.002872
74,4551,0.97634,0.48074,1.08856,0.97178,0.98207,0.9843,0.72348,1.05019,0.4426,1.13222,0.002773,0.002773,0.002773
75,4612.41,0.98479,0.48532,1.0956,0.97111,0.98207,0.98449,0.72075,1.05158,0.44399,1.13568,0.002674,0.002674,0.002674
76,4673.8,0.9709,0.48122,1.08977,0.97242,0.98256,0.9844,0.72301,1.05023,0.44082,1.13598,0.002575,0.002575,0.002575
77,4735.04,0.96245,0.47508,1.08071,0.97268,0.9811,0.98452,0.72378,1.04825,0.43994,1.1341,0.002476,0.002476,0.002476
78,4798.01,0.97029,0.47513,1.08964,0.97238,0.98256,0.98495,0.72521,1.04683,0.43866,1.13543,0.002377,0.002377,0.002377
79,4860.63,0.97161,0.47343,1.08756,0.97399,0.97964,0.98463,0.72408,1.04752,0.4386,1.13731,0.002278,0.002278,0.002278
