epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7096.18,0.93307,0.45761,1.06255,0.97492,0.98353,0.98666,0.72949,1.08437,0.46687,1.15997,0.003664,0.003664,0.003664
66,7205.01,0.92615,0.45454,1.06021,0.97425,0.98304,0.98665,0.72961,1.08415,0.46558,1.15987,0.003565,0.003565,0.003565
67,7313.55,0.92696,0.45346,1.06599,0.97408,0.98329,0.98663,0.72962,1.08409,0.46501,1.15949,0.003466,0.003466,0.003466
68,7422.52,0.92306,0.45286,1.06922,0.97409,0.98368,0.98671,0.7298,1.08304,0.46484,1.15936,0.003367,0.003367,0.003367
69,7531.31,0.91783,0.45098,1.06478,0.97412,0.98401,0.98664,0.72994,1.08266,0.46456,1.1589,0.003268,0.003268,0.003268
70,7639.92,0.91861,0.45138,1.06224,0.97409,0.98375,0.98655,0.72993,1.0823,0.46381,1.15871,0.003169,0.003169,0.003169
71,7748.55,0.9174,0.44765,1.05813,0.97409,0.98358,0.98654,0.73014,1.0818,0.46298,1.15858,0.00307,0.00307,0.00307
72,7857.81,0.90802,0.4421,1.05609,0.97409,0.98353,0.9865,0.72996,1.08121,0.46209,1.15804,0.002971,0.002971,0.002971
73,7967.33,0.90742,0.44346,1.0522,0.9743,0.98353,0.98653,0.72999,1.08041,0.46136,1.15691,0.002872,0.002872,0.002872
74,8076.54,0.90207,0.44294,1.05414,0.97439,0.98353,0.98651,0.73024,1.08084,0.46056,1.15725,0.002773,0.002773,0.002773
75,8185.88,0.89823,0.43975,1.05083,0.97466,0.98353,0.98653,0.73087,1.08051,0.45992,1.15677,0.002674,0.002674,0.002674
76,8295.18,0.89354,0.43669,1.04597,0.97488,0.98353,0.98655,0.73111,1.0798,0.45962,1.15563,0.002575,0.002575,0.002575
77,8405.48,0.88781,0.43538,1.0486,0.97478,0.98353,0.98655,0.73124,1.07879,0.45915,1.15522,0.002476,0.002476,0.002476
78,8515.35,0.88442,0.43101,1.04792,0.97455,0.98353,0.98655,0.73136,1.07827,0.45829,1.15464,0.002377,0.002377,0.002377
79,8625.19,0.88298,0.42856,1.04594,0.97547,0.98304,0.98657,0.73268,1.07794,0.45775,1.15399,0.002278,0.002278,0.002278
80,8734.53,0.87528,0.42802,1.04312,0.975,0.98304,0.98654,0.73236,1.07687,0.4568,1.15333,0.002179,0.002179,0.002179
81,8843.67,0.87436,0.42562,1.04403,0.97377,0.98256,0.98637,0.73233,1.0763,0.45571,1.15304,0.00208,0.00208,0.00208
82,8952.96,0.86892,0.42214,1.0433,0.97414,0.98256,0.98639,0.73265,1.0759,0.45507,1.1532,0.001981,0.001981,0.001981
83,9062.8,0.87233,0.42667,1.03745,0.97355,0.98256,0.98636,0.73291,1.07584,0.45401,1.1531,0.001882,0.001882,0.001882
84,9172.62,0.86452,0.42319,1.04254,0.97315,0.98328,0.98625,0.73303,1.07562,0.45344,1.15305,0.001783,0.001783,0.001783
